,sale_count
2015-01-04,5
2015-01-11,8
2015-01-18,5
2015-01-25,14
2015-02-01,6
2015-02-08,6
2015-02-15,9
2015-02-22,15
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,2
2015-04-12,4
2015-04-19,3
2015-04-26,13
2015-05-03,1
2015-05-10,1
2015-05-17,0
2015-05-24,1
2015-05-31,6
2015-06-07,5
2015-06-14,5
2015-06-21,7
2015-06-28,12
2015-07-05,5
2015-07-12,4
2015-07-19,6
2015-07-26,15
2015-08-02,11
2015-08-09,9
2015-08-16,14
2015-08-23,8
2015-08-30,30
2015-09-06,4
2015-09-13,4
2015-09-20,5
2015-09-27,14
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,0
2015-11-01,3
2015-11-08,7
2015-11-15,6
2015-11-22,6
2015-11-29,14
2015-12-06,5
2015-12-13,8
2015-12-20,4
2015-12-27,20
2016-01-03,12
2016-01-10,7
2016-01-17,8
2016-01-24,15
2016-01-31,33
2016-02-07,5
2016-02-14,3
2016-02-21,6
2016-02-28,17
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,2
2016-05-08,2
2016-05-15,1
2016-05-22,1
2016-05-29,5
2016-06-05,4
2016-06-12,3
2016-06-19,3
2016-06-26,11
2016-07-03,0
2016-07-10,0
2016-07-17,1
2016-07-24,1
2016-07-31,6
2016-08-07,10
2016-08-14,10
2016-08-21,9
2016-08-28,22
2016-09-04,1
2016-09-11,1
2016-09-18,2
2016-09-25,5
2016-10-02,5
2016-10-09,5
2016-10-16,3
2016-10-23,6
2016-10-30,12
2016-11-06,4
2016-11-13,3
2016-11-20,2
2016-11-27,14
2016-12-04,4
2016-12-11,4
2016-12-18,3
2016-12-25,10
2017-01-01,4
2017-01-08,6
2017-01-15,5
2017-01-22,5
2017-01-29,10
2017-02-05,1
2017-02-12,0
2017-02-19,0
2017-02-26,5
2017-03-05,2
2017-03-12,5
2017-03-19,2
2017-03-26,13
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,2
2017-05-14,2
2017-05-21,1
2017-05-28,6
2017-06-04,3
2017-06-11,2
2017-06-18,4
2017-06-25,8
2017-07-02,3
2017-07-09,4
2017-07-16,4
2017-07-23,3
2017-07-30,12
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,2
2017-09-03,0
2017-09-10,1
2017-09-17,1
2017-09-24,2
2017-10-01,2
2017-10-08,4
2017-10-15,3
2017-10-22,3
2017-10-29,12
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,3
2017-12-03,3
2017-12-10,4
2017-12-17,4
2017-12-24,3
2017-12-31,17
2018-01-07,2
2018-01-14,4
2018-01-21,4
2018-01-28,11
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
