,sale_count
2015-01-04,32
2015-01-11,31
2015-01-18,30
2015-01-25,39
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,7
2015-03-08,6
2015-03-15,3
2015-03-22,6
2015-03-29,16
2015-04-05,2
2015-04-12,4
2015-04-19,2
2015-04-26,11
2015-05-03,0
2015-05-10,0
2015-05-17,0
2015-05-24,0
2015-05-31,0
2015-06-07,7
2015-06-14,7
2015-06-21,5
2015-06-28,13
2015-07-05,12
2015-07-12,8
2015-07-19,11
2015-07-26,17
2015-08-02,10
2015-08-09,6
2015-08-16,6
2015-08-23,11
2015-08-30,31
2015-09-06,13
2015-09-13,11
2015-09-20,14
2015-09-27,24
2015-10-04,10
2015-10-11,5
2015-10-18,5
2015-10-25,21
2015-11-01,18
2015-11-08,11
2015-11-15,12
2015-11-22,16
2015-11-29,36
2015-12-06,12
2015-12-13,15
2015-12-20,13
2015-12-27,43
2016-01-03,12
2016-01-10,16
2016-01-17,9
2016-01-24,11
2016-01-31,34
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,3
2016-03-06,0
2016-03-13,0
2016-03-20,1
2016-03-27,5
2016-04-03,8
2016-04-10,5
2016-04-17,8
2016-04-24,13
2016-05-01,2
2016-05-08,1
2016-05-15,2
2016-05-22,2
2016-05-29,4
2016-06-05,5
2016-06-12,8
2016-06-19,8
2016-06-26,11
2016-07-03,2
2016-07-10,3
2016-07-17,1
2016-07-24,3
2016-07-31,10
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,2
2016-09-11,4
2016-09-18,4
2016-09-25,6
2016-10-02,1
2016-10-09,1
2016-10-16,1
2016-10-23,1
2016-10-30,1
2016-11-06,15
2016-11-13,15
2016-11-20,10
2016-11-27,26
2016-12-04,9
2016-12-11,15
2016-12-18,9
2016-12-25,36
2017-01-01,3
2017-01-08,5
2017-01-15,3
2017-01-22,2
2017-01-29,15
2017-02-05,2
2017-02-12,4
2017-02-19,3
2017-02-26,8
2017-03-05,2
2017-03-12,3
2017-03-19,2
2017-03-26,9
2017-04-02,0
2017-04-09,1
2017-04-16,0
2017-04-23,1
2017-04-30,4
2017-05-07,2
2017-05-14,2
2017-05-21,1
2017-05-28,4
2017-06-04,5
2017-06-11,4
2017-06-18,7
2017-06-25,21
2017-07-02,3
2017-07-09,1
2017-07-16,2
2017-07-23,1
2017-07-30,11
2017-08-06,6
2017-08-13,11
2017-08-20,10
2017-08-27,25
2017-09-03,3
2017-09-10,3
2017-09-17,2
2017-09-24,12
2017-10-01,17
2017-10-08,19
2017-10-15,11
2017-10-22,12
2017-10-29,39
2017-11-05,18
2017-11-12,9
2017-11-19,14
2017-11-26,38
2017-12-03,4
2017-12-10,2
2017-12-17,2
2017-12-24,2
2017-12-31,14
2018-01-07,12
2018-01-14,12
2018-01-21,11
2018-01-28,24
2018-02-04,3
2018-02-11,1
2018-02-18,1
2018-02-25,9
