,sale_count
2015-01-04,1
2015-01-11,1
2015-01-18,0
2015-01-25,4
2015-02-01,8
2015-02-08,4
2015-02-15,4
2015-02-22,17
2015-03-01,3
2015-03-08,2
2015-03-15,3
2015-03-22,3
2015-03-29,14
2015-04-05,5
2015-04-12,5
2015-04-19,6
2015-04-26,28
2015-05-03,3
2015-05-10,6
2015-05-17,3
2015-05-24,3
2015-05-31,16
2015-06-07,8
2015-06-14,8
2015-06-21,12
2015-06-28,21
2015-07-05,2
2015-07-12,2
2015-07-19,4
2015-07-26,10
2015-08-02,4
2015-08-09,5
2015-08-16,4
2015-08-23,4
2015-08-30,11
2015-09-06,6
2015-09-13,12
2015-09-20,9
2015-09-27,21
2015-10-04,0
2015-10-11,0
2015-10-18,1
2015-10-25,3
2015-11-01,14
2015-11-08,14
2015-11-15,10
2015-11-22,8
2015-11-29,28
2015-12-06,1
2015-12-13,0
2015-12-20,1
2015-12-27,3
2016-01-03,12
2016-01-10,13
2016-01-17,9
2016-01-24,11
2016-01-31,37
2016-02-07,5
2016-02-14,5
2016-02-21,5
2016-02-28,27
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,1
2016-08-14,2
2016-08-21,1
2016-08-28,8
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,1
2016-10-23,1
2016-10-30,3
2016-11-06,6
2016-11-13,9
2016-11-20,5
2016-11-27,16
2016-12-04,1
2016-12-11,1
2016-12-18,1
2016-12-25,11
2017-01-01,2
2017-01-08,2
2017-01-15,5
2017-01-22,5
2017-01-29,13
2017-02-05,2
2017-02-12,3
2017-02-19,2
2017-02-26,7
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,2
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,3
2017-06-04,3
2017-06-11,1
2017-06-18,1
2017-06-25,8
2017-07-02,2
2017-07-09,2
2017-07-16,2
2017-07-23,2
2017-07-30,2
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,3
2017-09-03,0
2017-09-10,0
2017-09-17,1
2017-09-24,4
2017-10-01,3
2017-10-08,2
2017-10-15,3
2017-10-22,2
2017-10-29,7
2017-11-05,3
2017-11-12,3
2017-11-19,2
2017-11-26,10
2017-12-03,1
2017-12-10,1
2017-12-17,1
2017-12-24,2
2017-12-31,5
2018-01-07,4
2018-01-14,3
2018-01-21,2
2018-01-28,13
2018-02-04,1
2018-02-11,2
2018-02-18,1
2018-02-25,4
