,sale_count
2015-01-04,4
2015-01-11,3
2015-01-18,3
2015-01-25,18
2015-02-01,8
2015-02-08,8
2015-02-15,4
2015-02-22,15
2015-03-01,6
2015-03-08,3
2015-03-15,5
2015-03-22,3
2015-03-29,16
2015-04-05,2
2015-04-12,3
2015-04-19,3
2015-04-26,7
2015-05-03,1
2015-05-10,1
2015-05-17,0
2015-05-24,1
2015-05-31,5
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,3
2015-07-05,2
2015-07-12,3
2015-07-19,2
2015-07-26,9
2015-08-02,3
2015-08-09,1
2015-08-16,1
2015-08-23,2
2015-08-30,12
2015-09-06,8
2015-09-13,6
2015-09-20,4
2015-09-27,15
2015-10-04,1
2015-10-11,2
2015-10-18,2
2015-10-25,5
2015-11-01,7
2015-11-08,5
2015-11-15,7
2015-11-22,5
2015-11-29,19
2015-12-06,10
2015-12-13,9
2015-12-20,11
2015-12-27,38
2016-01-03,2
2016-01-10,2
2016-01-17,3
2016-01-24,2
2016-01-31,15
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,3
2016-05-08,4
2016-05-15,3
2016-05-22,2
2016-05-29,13
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,1
2016-07-03,5
2016-07-10,7
2016-07-17,4
2016-07-24,6
2016-07-31,13
2016-08-07,4
2016-08-14,8
2016-08-21,4
2016-08-28,17
2016-09-04,2
2016-09-11,3
2016-09-18,2
2016-09-25,9
2016-10-02,6
2016-10-09,4
2016-10-16,7
2016-10-23,4
2016-10-30,16
2016-11-06,14
2016-11-13,14
2016-11-20,10
2016-11-27,20
2016-12-04,4
2016-12-11,4
2016-12-18,7
2016-12-25,17
2017-01-01,7
2017-01-08,6
2017-01-15,5
2017-01-22,7
2017-01-29,34
2017-02-05,0
2017-02-12,0
2017-02-19,1
2017-02-26,5
2017-03-05,1
2017-03-12,2
2017-03-19,1
2017-03-26,11
2017-04-02,3
2017-04-09,3
2017-04-16,1
2017-04-23,3
2017-04-30,9
2017-05-07,4
2017-05-14,4
2017-05-21,4
2017-05-28,12
2017-06-04,5
2017-06-11,7
2017-06-18,4
2017-06-25,16
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,4
2017-08-13,5
2017-08-20,5
2017-08-27,6
2017-09-03,4
2017-09-10,8
2017-09-17,8
2017-09-24,13
2017-10-01,8
2017-10-08,7
2017-10-15,5
2017-10-22,5
2017-10-29,16
2017-11-05,1
2017-11-12,0
2017-11-19,0
2017-11-26,3
2017-12-03,4
2017-12-10,7
2017-12-17,8
2017-12-24,8
2017-12-31,14
2018-01-07,1
2018-01-14,0
2018-01-21,1
2018-01-28,5
2018-02-04,1
2018-02-11,2
2018-02-18,2
2018-02-25,6
