,sale_count
2015-01-04,18
2015-01-11,27
2015-01-18,27
2015-01-25,38
2015-02-01,10
2015-02-08,7
2015-02-15,12
2015-02-22,22
2015-03-01,5
2015-03-08,3
2015-03-15,6
2015-03-22,6
2015-03-29,11
2015-04-05,10
2015-04-12,8
2015-04-19,12
2015-04-26,20
2015-05-03,9
2015-05-10,7
2015-05-17,5
2015-05-24,8
2015-05-31,30
2015-06-07,3
2015-06-14,4
2015-06-21,4
2015-06-28,14
2015-07-05,12
2015-07-12,7
2015-07-19,8
2015-07-26,31
2015-08-02,6
2015-08-09,9
2015-08-16,10
2015-08-23,8
2015-08-30,24
2015-09-06,4
2015-09-13,8
2015-09-20,5
2015-09-27,17
2015-10-04,5
2015-10-11,5
2015-10-18,4
2015-10-25,21
2015-11-01,13
2015-11-08,11
2015-11-15,12
2015-11-22,6
2015-11-29,27
2015-12-06,27
2015-12-13,22
2015-12-20,22
2015-12-27,64
2016-01-03,9
2016-01-10,5
2016-01-17,9
2016-01-24,10
2016-01-31,23
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,6
2016-04-10,4
2016-04-17,7
2016-04-24,16
2016-05-01,2
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,9
2016-06-05,6
2016-06-12,3
2016-06-19,5
2016-06-26,13
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,3
2016-08-14,3
2016-08-21,5
2016-08-28,9
2016-09-04,5
2016-09-11,5
2016-09-18,7
2016-09-25,18
2016-10-02,4
2016-10-09,6
2016-10-16,3
2016-10-23,6
2016-10-30,13
2016-11-06,9
2016-11-13,7
2016-11-20,6
2016-11-27,28
2016-12-04,21
2016-12-11,15
2016-12-18,28
2016-12-25,49
2017-01-01,9
2017-01-08,6
2017-01-15,9
2017-01-22,5
2017-01-29,29
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,1
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,1
2017-07-02,2
2017-07-09,2
2017-07-16,2
2017-07-23,3
2017-07-30,9
2017-08-06,10
2017-08-13,5
2017-08-20,11
2017-08-27,18
2017-09-03,4
2017-09-10,4
2017-09-17,2
2017-09-24,10
2017-10-01,5
2017-10-08,4
2017-10-15,5
2017-10-22,8
2017-10-29,24
2017-11-05,1
2017-11-12,1
2017-11-19,0
2017-11-26,4
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,1
2018-01-07,1
2018-01-14,0
2018-01-21,0
2018-01-28,6
2018-02-04,3
2018-02-11,1
2018-02-18,2
2018-02-25,6
