,sale_count
2015-01-04,12
2015-01-11,6
2015-01-18,9
2015-01-25,21
2015-02-01,4
2015-02-08,6
2015-02-15,4
2015-02-22,13
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,5
2015-04-12,5
2015-04-19,3
2015-04-26,12
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,2
2015-05-31,9
2015-06-07,2
2015-06-14,3
2015-06-21,2
2015-06-28,5
2015-07-05,4
2015-07-12,6
2015-07-19,7
2015-07-26,14
2015-08-02,5
2015-08-09,6
2015-08-16,5
2015-08-23,3
2015-08-30,12
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,4
2015-10-04,2
2015-10-11,1
2015-10-18,1
2015-10-25,5
2015-11-01,6
2015-11-08,5
2015-11-15,5
2015-11-22,7
2015-11-29,16
2015-12-06,4
2015-12-13,4
2015-12-20,6
2015-12-27,14
2016-01-03,7
2016-01-10,5
2016-01-17,5
2016-01-24,6
2016-01-31,21
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,3
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,3
2016-05-01,2
2016-05-08,4
2016-05-15,3
2016-05-22,4
2016-05-29,9
2016-06-05,3
2016-06-12,6
2016-06-19,6
2016-06-26,9
2016-07-03,1
2016-07-10,1
2016-07-17,0
2016-07-24,1
2016-07-31,5
2016-08-07,6
2016-08-14,7
2016-08-21,5
2016-08-28,22
2016-09-04,2
2016-09-11,2
2016-09-18,2
2016-09-25,4
2016-10-02,2
2016-10-09,1
2016-10-16,2
2016-10-23,1
2016-10-30,4
2016-11-06,2
2016-11-13,1
2016-11-20,3
2016-11-27,7
2016-12-04,3
2016-12-11,3
2016-12-18,3
2016-12-25,4
2017-01-01,9
2017-01-08,9
2017-01-15,11
2017-01-22,7
2017-01-29,26
2017-02-05,5
2017-02-12,8
2017-02-19,6
2017-02-26,15
2017-03-05,2
2017-03-12,2
2017-03-19,1
2017-03-26,7
2017-04-02,7
2017-04-09,7
2017-04-16,7
2017-04-23,8
2017-04-30,16
2017-05-07,7
2017-05-14,3
2017-05-21,5
2017-05-28,13
2017-06-04,7
2017-06-11,7
2017-06-18,6
2017-06-25,19
2017-07-02,7
2017-07-09,7
2017-07-16,5
2017-07-23,5
2017-07-30,13
2017-08-06,1
2017-08-13,2
2017-08-20,2
2017-08-27,5
2017-09-03,7
2017-09-10,10
2017-09-17,11
2017-09-24,28
2017-10-01,17
2017-10-08,14
2017-10-15,21
2017-10-22,16
2017-10-29,40
2017-11-05,20
2017-11-12,17
2017-11-19,13
2017-11-26,47
2017-12-03,3
2017-12-10,2
2017-12-17,1
2017-12-24,3
2017-12-31,7
2018-01-07,6
2018-01-14,8
2018-01-21,11
2018-01-28,20
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,1
