,sale_count
2015-01-04,4
2015-01-11,2
2015-01-18,5
2015-01-25,10
2015-02-01,24
2015-02-08,19
2015-02-15,20
2015-02-22,33
2015-03-01,4
2015-03-08,4
2015-03-15,5
2015-03-22,7
2015-03-29,24
2015-04-05,18
2015-04-12,10
2015-04-19,9
2015-04-26,39
2015-05-03,13
2015-05-10,9
2015-05-17,16
2015-05-24,10
2015-05-31,36
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,17
2015-07-12,10
2015-07-19,14
2015-07-26,41
2015-08-02,14
2015-08-09,20
2015-08-16,15
2015-08-23,13
2015-08-30,50
2015-09-06,26
2015-09-13,35
2015-09-20,19
2015-09-27,73
2015-10-04,36
2015-10-11,39
2015-10-18,36
2015-10-25,65
2015-11-01,4
2015-11-08,5
2015-11-15,4
2015-11-22,3
2015-11-29,15
2015-12-06,58
2015-12-13,55
2015-12-20,55
2015-12-27,87
2016-01-03,16
2016-01-10,31
2016-01-17,15
2016-01-24,16
2016-01-31,78
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,12
2016-05-08,11
2016-05-15,7
2016-05-22,9
2016-05-29,40
2016-06-05,9
2016-06-12,9
2016-06-19,15
2016-06-26,44
2016-07-03,17
2016-07-10,13
2016-07-17,12
2016-07-24,15
2016-07-31,34
2016-08-07,41
2016-08-14,43
2016-08-21,37
2016-08-28,59
2016-09-04,2
2016-09-11,3
2016-09-18,2
2016-09-25,8
2016-10-02,24
2016-10-09,18
2016-10-16,28
2016-10-23,28
2016-10-30,43
2016-11-06,51
2016-11-13,68
2016-11-20,47
2016-11-27,114
2016-12-04,32
2016-12-11,44
2016-12-18,28
2016-12-25,112
2017-01-01,41
2017-01-08,36
2017-01-15,46
2017-01-22,26
2017-01-29,103
2017-02-05,5
2017-02-12,4
2017-02-19,4
2017-02-26,24
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,1
2017-04-09,1
2017-04-16,1
2017-04-23,1
2017-04-30,10
2017-05-07,19
2017-05-14,12
2017-05-21,16
2017-05-28,36
2017-06-04,43
2017-06-11,38
2017-06-18,31
2017-06-25,89
2017-07-02,23
2017-07-09,25
2017-07-16,18
2017-07-23,21
2017-07-30,90
2017-08-06,7
2017-08-13,8
2017-08-20,13
2017-08-27,26
2017-09-03,16
2017-09-10,24
2017-09-17,22
2017-09-24,45
2017-10-01,18
2017-10-08,19
2017-10-15,15
2017-10-22,17
2017-10-29,29
2017-11-05,1
2017-11-12,0
2017-11-19,1
2017-11-26,5
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
2018-01-07,22
2018-01-14,17
2018-01-21,21
2018-01-28,73
2018-02-04,47
2018-02-11,36
2018-02-18,42
2018-02-25,139
