,sale_count
2015-01-04,11
2015-01-11,8
2015-01-18,9
2015-01-25,23
2015-02-01,2
2015-02-08,2
2015-02-15,4
2015-02-22,9
2015-03-01,1
2015-03-08,1
2015-03-15,3
2015-03-22,3
2015-03-29,8
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,4
2015-05-10,4
2015-05-17,3
2015-05-24,3
2015-05-31,8
2015-06-07,10
2015-06-14,7
2015-06-21,5
2015-06-28,21
2015-07-05,3
2015-07-12,3
2015-07-19,4
2015-07-26,8
2015-08-02,9
2015-08-09,7
2015-08-16,11
2015-08-23,13
2015-08-30,34
2015-09-06,4
2015-09-13,6
2015-09-20,8
2015-09-27,14
2015-10-04,4
2015-10-11,7
2015-10-18,5
2015-10-25,22
2015-11-01,21
2015-11-08,24
2015-11-15,17
2015-11-22,29
2015-11-29,71
2015-12-06,0
2015-12-13,0
2015-12-20,0
2015-12-27,2
2016-01-03,31
2016-01-10,20
2016-01-17,31
2016-01-24,25
2016-01-31,57
2016-02-07,2
2016-02-14,2
2016-02-21,2
2016-02-28,3
2016-03-06,14
2016-03-13,17
2016-03-20,15
2016-03-27,33
2016-04-03,14
2016-04-10,13
2016-04-17,12
2016-04-24,41
2016-05-01,7
2016-05-08,11
2016-05-15,6
2016-05-22,7
2016-05-29,30
2016-06-05,4
2016-06-12,3
2016-06-19,2
2016-06-26,13
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,2
2016-08-07,20
2016-08-14,14
2016-08-21,21
2016-08-28,52
2016-09-04,3
2016-09-11,2
2016-09-18,2
2016-09-25,11
2016-10-02,3
2016-10-09,3
2016-10-16,2
2016-10-23,4
2016-10-30,8
2016-11-06,23
2016-11-13,28
2016-11-20,30
2016-11-27,66
2016-12-04,22
2016-12-11,26
2016-12-18,32
2016-12-25,80
2017-01-01,7
2017-01-08,7
2017-01-15,7
2017-01-22,7
2017-01-29,13
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,2
2017-04-09,2
2017-04-16,1
2017-04-23,3
2017-04-30,10
2017-05-07,14
2017-05-14,9
2017-05-21,8
2017-05-28,27
2017-06-04,8
2017-06-11,6
2017-06-18,5
2017-06-25,17
2017-07-02,3
2017-07-09,2
2017-07-16,2
2017-07-23,4
2017-07-30,15
2017-08-06,7
2017-08-13,3
2017-08-20,6
2017-08-27,15
2017-09-03,6
2017-09-10,7
2017-09-17,6
2017-09-24,13
2017-10-01,9
2017-10-08,5
2017-10-15,7
2017-10-22,9
2017-10-29,29
2017-11-05,1
2017-11-12,3
2017-11-19,2
2017-11-26,7
2017-12-03,1
2017-12-10,0
2017-12-17,1
2017-12-24,0
2017-12-31,4
2018-01-07,9
2018-01-14,11
2018-01-21,11
2018-01-28,14
2018-02-04,1
2018-02-11,2
2018-02-18,1
2018-02-25,7
