,sale_count
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,2
2015-02-01,2
2015-02-08,1
2015-02-15,1
2015-02-22,11
2015-03-01,1
2015-03-08,0
2015-03-15,1
2015-03-22,1
2015-03-29,4
2015-04-05,1
2015-04-12,0
2015-04-19,1
2015-04-26,5
2015-05-03,1
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,7
2015-06-07,4
2015-06-14,3
2015-06-21,4
2015-06-28,6
2015-07-05,2
2015-07-12,1
2015-07-19,1
2015-07-26,7
2015-08-02,2
2015-08-09,3
2015-08-16,2
2015-08-23,3
2015-08-30,8
2015-09-06,4
2015-09-13,5
2015-09-20,4
2015-09-27,19
2015-10-04,5
2015-10-11,3
2015-10-18,4
2015-10-25,10
2015-11-01,0
2015-11-08,0
2015-11-15,0
2015-11-22,0
2015-11-29,0
2015-12-06,6
2015-12-13,3
2015-12-20,3
2015-12-27,16
2016-01-03,4
2016-01-10,8
2016-01-17,8
2016-01-24,5
2016-01-31,16
2016-02-07,1
2016-02-14,2
2016-02-21,2
2016-02-28,5
2016-03-06,0
2016-03-13,1
2016-03-20,0
2016-03-27,5
2016-04-03,3
2016-04-10,5
2016-04-17,3
2016-04-24,9
2016-05-01,1
2016-05-08,2
2016-05-15,1
2016-05-22,2
2016-05-29,7
2016-06-05,4
2016-06-12,2
2016-06-19,3
2016-06-26,14
2016-07-03,3
2016-07-10,1
2016-07-17,1
2016-07-24,3
2016-07-31,9
2016-08-07,4
2016-08-14,5
2016-08-21,6
2016-08-28,10
2016-09-04,0
2016-09-11,1
2016-09-18,0
2016-09-25,6
2016-10-02,3
2016-10-09,5
2016-10-16,6
2016-10-23,6
2016-10-30,10
2016-11-06,4
2016-11-13,3
2016-11-20,3
2016-11-27,8
2016-12-04,7
2016-12-11,7
2016-12-18,6
2016-12-25,15
2017-01-01,6
2017-01-08,4
2017-01-15,5
2017-01-22,3
2017-01-29,15
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,3
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,3
2017-05-07,1
2017-05-14,2
2017-05-21,2
2017-05-28,8
2017-06-04,1
2017-06-11,1
2017-06-18,3
2017-06-25,10
2017-07-02,1
2017-07-09,1
2017-07-16,1
2017-07-23,1
2017-07-30,6
2017-08-06,3
2017-08-13,4
2017-08-20,4
2017-08-27,7
2017-09-03,3
2017-09-10,2
2017-09-17,3
2017-09-24,9
2017-10-01,2
2017-10-08,3
2017-10-15,3
2017-10-22,2
2017-10-29,14
2017-11-05,1
2017-11-12,1
2017-11-19,0
2017-11-26,5
2017-12-03,4
2017-12-10,4
2017-12-17,3
2017-12-24,3
2017-12-31,9
2018-01-07,1
2018-01-14,2
2018-01-21,3
2018-01-28,6
2018-02-04,1
2018-02-11,0
2018-02-18,0
2018-02-25,4
