,sale_count
2015-01-04,0
2015-01-11,0
2015-01-18,0
2015-01-25,0
2015-02-01,0
2015-02-08,0
2015-02-15,0
2015-02-22,0
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,77
2015-04-12,70
2015-04-19,94
2015-04-26,138
2015-05-03,22
2015-05-10,20
2015-05-17,19
2015-05-24,24
2015-05-31,78
2015-06-07,123
2015-06-14,114
2015-06-21,144
2015-06-28,228
2015-07-05,87
2015-07-12,124
2015-07-19,141
2015-07-26,282
2015-08-02,100
2015-08-09,130
2015-08-16,102
2015-08-23,109
2015-08-30,242
2015-09-06,215
2015-09-13,416
2015-09-20,383
2015-09-27,711
2015-10-04,36
2015-10-11,49
2015-10-18,36
2015-10-25,153
2015-11-01,143
2015-11-08,84
2015-11-15,130
2015-11-22,75
2015-11-29,322
2015-12-06,55
2015-12-13,78
2015-12-20,47
2015-12-27,151
2016-01-03,149
2016-01-10,200
2016-01-17,186
2016-01-24,128
2016-01-31,458
2016-02-07,0
2016-02-14,0
2016-02-21,0
2016-02-28,0
2016-03-06,152
2016-03-13,130
2016-03-20,113
2016-03-27,344
2016-04-03,15
2016-04-10,16
2016-04-17,23
2016-04-24,41
2016-05-01,73
2016-05-08,67
2016-05-15,67
2016-05-22,67
2016-05-29,134
2016-06-05,73
2016-06-12,73
2016-06-19,107
2016-06-26,223
2016-07-03,0
2016-07-10,0
2016-07-17,0
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,0
2016-08-21,0
2016-08-28,0
2016-09-04,0
2016-09-11,0
2016-09-18,0
2016-09-25,0
2016-10-02,4
2016-10-09,5
2016-10-16,4
2016-10-23,3
2016-10-30,16
2016-11-06,81
2016-11-13,81
2016-11-20,127
2016-11-27,365
2016-12-04,125
2016-12-11,97
2016-12-18,87
2016-12-25,236
2017-01-01,25
2017-01-08,27
2017-01-15,14
2017-01-22,21
2017-01-29,52
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,167
2017-03-12,142
2017-03-19,147
2017-03-26,428
2017-04-02,277
2017-04-09,178
2017-04-16,262
2017-04-23,301
2017-04-30,496
2017-05-07,243
2017-05-14,330
2017-05-21,285
2017-05-28,558
2017-06-04,0
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,44
2017-07-09,52
2017-07-16,57
2017-07-23,53
2017-07-30,84
2017-08-06,0
2017-08-13,0
2017-08-20,0
2017-08-27,0
2017-09-03,0
2017-09-10,0
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,0
2017-10-15,0
2017-10-22,0
2017-10-29,0
2017-11-05,0
2017-11-12,0
2017-11-19,0
2017-11-26,2
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,0
2017-12-31,0
