,sale_count
2015-01-04,8
2015-01-11,6
2015-01-18,8
2015-01-25,27
2015-02-01,10
2015-02-08,8
2015-02-15,11
2015-02-22,33
2015-03-01,0
2015-03-08,0
2015-03-15,0
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,1
2015-04-19,1
2015-04-26,5
2015-05-03,5
2015-05-10,7
2015-05-17,3
2015-05-24,5
2015-05-31,17
2015-06-07,17
2015-06-14,22
2015-06-21,13
2015-06-28,37
2015-07-05,14
2015-07-12,14
2015-07-19,14
2015-07-26,52
2015-08-02,8
2015-08-09,12
2015-08-16,7
2015-08-23,8
2015-08-30,32
2015-09-06,13
2015-09-13,8
2015-09-20,10
2015-09-27,22
2015-10-04,25
2015-10-11,13
2015-10-18,18
2015-10-25,44
2015-11-01,37
2015-11-08,27
2015-11-15,33
2015-11-22,19
2015-11-29,70
2015-12-06,8
2015-12-13,6
2015-12-20,7
2015-12-27,12
2016-01-03,36
2016-01-10,49
2016-01-17,38
2016-01-24,25
2016-01-31,98
2016-02-07,9
2016-02-14,8
2016-02-21,9
2016-02-28,22
2016-03-06,0
2016-03-13,0
2016-03-20,0
2016-03-27,0
2016-04-03,0
2016-04-10,0
2016-04-17,0
2016-04-24,0
2016-05-01,0
2016-05-08,0
2016-05-15,0
2016-05-22,0
2016-05-29,0
2016-06-05,0
2016-06-12,0
2016-06-19,0
2016-06-26,1
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,5
2016-08-07,6
2016-08-14,5
2016-08-21,8
2016-08-28,16
2016-09-04,13
2016-09-11,18
2016-09-18,12
2016-09-25,39
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,15
2016-11-13,11
2016-11-20,10
2016-11-27,31
2016-12-04,11
2016-12-11,6
2016-12-18,11
2016-12-25,20
2017-01-01,2
2017-01-08,1
2017-01-15,2
2017-01-22,1
2017-01-29,7
2017-02-05,0
2017-02-12,0
2017-02-19,0
2017-02-26,0
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,0
2017-04-09,0
2017-04-16,0
2017-04-23,0
2017-04-30,0
2017-05-07,0
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,1
2017-06-11,2
2017-06-18,2
2017-06-25,4
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,1
2017-08-06,1
2017-08-13,2
2017-08-20,2
2017-08-27,5
2017-09-03,3
2017-09-10,4
2017-09-17,3
2017-09-24,8
2017-10-01,3
2017-10-08,4
2017-10-15,3
2017-10-22,4
2017-10-29,8
2017-11-05,2
2017-11-12,4
2017-11-19,3
2017-11-26,12
2017-12-03,4
2017-12-10,4
2017-12-17,4
2017-12-24,3
2017-12-31,12
2018-01-07,9
2018-01-14,4
2018-01-21,8
2018-01-28,17
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,1
