01-01-2015,48
01-02-2015,27
01-03-2015,0
01-04-2015,25
01-05-2015,14
01-06-2015,12
01-07-2015,31
01-08-2015,31
01-09-2015,7
01-10-2015,9
01-11-2015,39
01-12-2015,28
01-01-2016,44
01-02-2016,0
01-03-2016,3
01-04-2016,3
01-05-2016,22
01-06-2016,24
01-07-2016,8
01-08-2016,40
01-09-2016,10
01-10-2016,10
01-11-2016,13
01-12-2016,13
01-01-2017,62
01-02-2017,34
01-03-2017,12
01-04-2017,45
01-05-2017,28
01-06-2017,39
01-07-2017,37
01-08-2017,10
01-09-2017,56
01-10-2017,108
01-11-2017,97
01-12-2017,16
01-01-2018,45
01-02-2018,1
