01-01-2015,110
01-02-2015,51
01-03-2015,31
01-04-2015,50
01-05-2015,59
01-06-2015,25
01-07-2015,58
01-08-2015,57
01-09-2015,34
01-10-2015,35
01-11-2015,69
01-12-2015,135
01-01-2016,56
01-02-2016,0
01-03-2016,0
01-04-2016,33
01-05-2016,17
01-06-2016,27
01-07-2016,0
01-08-2016,20
01-09-2016,35
01-10-2016,32
01-11-2016,50
01-12-2016,113
01-01-2017,58
01-02-2017,0
01-03-2017,0
01-04-2017,0
01-05-2017,1
01-06-2017,1
01-07-2017,18
01-08-2017,44
01-09-2017,20
01-10-2017,46
01-11-2017,6
01-12-2017,1
01-01-2018,7
01-02-2018,12
